key;ptBR;enUS
Beeenny_greating;Eaeee galera!;Heeey duudes!
Beeenny_dumb;"Caaara... Eu perdi um saco de... oregano. Se alguem encontrar, por favor me devolva.";"Duuuude... I just lost a bag of ... spices. If anyone finds it, please give it back to me."
Beeenny_fear;"YOW, cês ouviram isso?";"YOW, did ya hear that?"
Beeenny_gossip;Ahhh cara. Pra que isso?;Awhhh man. Why?
Beeenny_relief;Essa foi das boas. Até achei que tinham lobos de verdade;That was a good one. I even saw some wolves.
Beeenny_grief;Quem morre?;Who died?
Beeenny_kinship;seu tio;your uncle
Carlos_Albeeerto_greating;Hi.;Hi.
Carlos_Albeeerto_dumb;Alguem quer jogar Meeeeetal Gear?;Someona wanna play Baaaaaatle Yard?
Carlos_Albeeerto_fear;Eu falei que era perigoso lá fora;I told you it was too danger outside
Carlos_Albeeerto_gossip;Cês vira o q ele fez?!;Did you see what he did?
Carlos_Albeeerto_relief;Tô feliz que acabo;I am so glad it is over
Carlos_Albeeerto_grief;"Não curti cara, não curti";Not cool dude. Not cool
Carlos_Albeeerto_kinship;seu primo;your cousin
Beeernaaardo_greating;yoohhh;yoohhh
Beeernaaardo_dumb;Preteina de Grama! Maaaano;Grass Protein! Birllll
Beeernaaardo_fear;É por isso que eu malho. Né?;This is why I workout. Right?
Beeernaaardo_gossip;Parece que alguém andou treinando... dá pra ver pelo quão longe joga os outros por cima da cerca.;looks like somoene have been training... can tell by how far someone throw anotherone over the fance
Beeernaaardo_relief;Legal. Vou malhar;Cool. I am going to the gym
Beeernaaardo_grief;Eles eram da familia...;They were family...
Beeernaaardo_kinship;seu primo;your cousin
Baaaarry_greating;Estou aqui;I`m here
Baaaarry_dumb;No meu tempo nós caçavamos os lobos;Back in my days we were the ones hunting the wolfs.
Baaaarry_fear;Que irritante;So annoying.
Baaaarry_gossip;"Jovem, pare com isso";"Kid, stop it."
Baaaarry_relief;Eu tô velho de mais pra correr assim;I am too old to keep running around like that.
Baaaarry_grief;Me mate agora!;Kill me now!
Baaaarry_kinship;seu avô;your grandpa
Beeenjamin_greating;Bom dia;Morning.
Beeenjamin_dumb;Eu não estou bebado ... ainda.;I am not drunk ... yet.
Beeenjamin_fear;Talvez eu devesse para de beber. Eu estou escutando coisas.;"Maybe I should stop drinking, I am hearing things"
Beeenjamin_gossip;Eu preciso de uma cerveja pra lidar com isso;I kneed a beer to deal with that
Beeenjamin_relief;A gente deveria beber pra celebrar;We should drink to celebrate
Beeenjamin_grief;Um brinde em nome dos que cairam;A toast in name of the fallen ones
Beeenjamin_kinship;seu tio;your uncle
Baaarbara_greating;Heeey;Heeeey
Baaarbara_dumb;Vcs gostaram do meu novo corte de lã?;did you liked my new wool cut?
Baaarbara_fear;Eu definitivaméééééénte ouvi alguma coisa;I totally heard something.
Baaarbara_gossip;"ohhh não, vc não fez isso!";Ow no you didn`t!
Baaarbara_relief;Meu Deus. Vcs viram como o pelo deles estava bagunçado? Que vergonha;OMG did you guys see how messy their fur was? So embarrassing.
Baaarbara_grief;#Luto;#thoughts&prayers
Baaarbara_kinship;sua prima;your cousin
Blaaaair_greating;Olááááááá;Hellowww
Blaaaair_dumb;Tenho certeza que vcs vão adorar a minha nova receita de Grama Low-Carb;I am sure you guys will love my new Low-Carb Grass Recipe.
Blaaaair_fear;Talvez os lobos se interesarão em uma dieta vegana;Perhaps the wolves will be interested in a vegan diet.
Blaaaair_gossip;Decisões ruins foram tomadas;Bad decisions were taken
Blaaaair_relief;"Pelo lado positivo, Foi um ótimo exercício";"On the bright side, this was a great workout."
Blaaaair_grief;R.I.P.;R.I.P.
Blaaaair_kinship;sua tia;your aunt
Beeeeeverly_greating;Bom diaaa!;Good Morning!
Beeeeeverly_dumb;Idiotaaaa;dumbaaaaassss
Beeeeeverly_fear;Malditas crianças de novo;Damn kids again
Beeeeeverly_gossip;"Se alguem tentar me jogar para fora, eu juro que vou perder a cabeça PORRA";"If someone try to throw me out, I swear I am gonna loose my FUUUUCKING mind!"
Beeeeeverly_relief;bastardo sortudo;lucky baaaaastard
Beeeeeverly_grief;que triste;so sad
Beeeeeverly_kinship;sua avó;your grandma
Beeeeeth_greating;Bom dia abençoado amigos!;"Good blessed morning, flock!"
Beeeeeth_dumb;Eu espero ver todos na igreja no domingo;I hope to see everybody at the church on sunsday
Beeeeeth_fear;eu posso sentir... o diabo está por perto;I can fell... the deamon is around!
Beeeeeth_gossip;O senhor está sempre olhando as ovelhas mau comportadas;The lord is always watching thoses badly behaved sheep.
